G,L,equilibrium
2.0,16.6,Implement / Fight
2.0,16.8,Implement / Fight
2.0,17.0,Implement / Fight
2.0,17.2,Implement / Fight
2.0,17.400000000000002,Implement / Fight
2.0,17.6,Implement / Fight
2.0,17.8,Implement / Fight
2.0,18.0,Implement / Fight
2.0,18.2,Implement / Fight
2.0,18.400000000000002,Implement / Fight
2.0,18.6,Implement / Fight
2.0,18.8,Implement / Fight
2.0,19.0,Implement / Fight
2.0,19.200000000000003,Implement / Fight
2.0,19.400000000000002,Implement / Fight
2.0,19.6,Implement / Fight
2.0,19.8,Implement / Fight
2.333333333333333,0.0,Implement / Accept
2.333333333333333,0.2,Implement / Accept
2.333333333333333,0.4,Implement / Accept
2.333333333333333,0.6000000000000001,Implement / Accept
2.333333333333333,0.8,Implement / Accept
2.333333333333333,1.0,Implement / Accept
2.333333333333333,1.2000000000000002,Implement / Accept
2.333333333333333,1.4000000000000001,Implement / Accept
2.333333333333333,1.6,Implement / Accept
2.333333333333333,1.8,Implement / Accept
2.333333333333333,2.0,Implement / Accept
2.333333333333333,2.2,Implement / Accept
2.333333333333333,2.4000000000000004,Implement / Accept
2.333333333333333,2.6,Implement / Accept
2.333333333333333,2.8000000000000003,Implement / Accept
2.333333333333333,3.0,Implement / Accept
2.333333333333333,3.2,Implement / Accept
2.333333333333333,3.4000000000000004,Implement / Accept
2.333333333333333,3.6,Implement / Accept
2.333333333333333,3.8000000000000003,Implement / Fight
2.333333333333333,4.0,Implement / Fight
2.333333333333333,4.2,Implement / Fight
2.333333333333333,4.4,Implement / Fight
2.333333333333333,4.6000000000000005,Implement / Fight
2.333333333333333,4.800000000000001,Implement / Fight
2.333333333333333,5.0,Implement / Fight
2.333333333333333,5.2,Implement / Fight
2.333333333333333,5.4,Implement / Fight
2.333333333333333,5.6000000000000005,Implement / Fight
2.333333333333333,5.800000000000001,Implement / Fight
2.333333333333333,6.0,Implement / Fight
2.333333333333333,6.2,Implement / Fight
2.333333333333333,6.4,Implement / Fight
2.333333333333333,6.6000000000000005,Implement / Fight
2.333333333333333,6.800000000000001,Implement / Fight
2.333333333333333,7.0,Implement / Fight
2.333333333333333,7.2,Implement / Fight
2.333333333333333,7.4,Implement / Fight
2.333333333333333,7.6000000000000005,Implement / Fight
2.333333333333333,7.800000000000001,Implement / Fight
2.333333333333333,8.0,Implement / Fight
2.333333333333333,8.200000000000001,Implement / Fight
2.333333333333333,8.4,Implement / Fight
2.333333333333333,8.6,Implement / Fight
2.333333333333333,8.8,Implement / Fight
2.333333333333333,9.0,Implement / Fight
2.333333333333333,9.200000000000001,Implement / Fight
2.333333333333333,9.4,Implement / Fight
2.333333333333333,9.600000000000001,Implement / Fight
2.333333333333333,9.8,Implement / Fight
2.333333333333333,10.0,Implement / Fight
2.333333333333333,10.200000000000001,Implement / Fight
2.333333333333333,10.4,Implement / Fight
2.333333333333333,10.600000000000001,Implement / Fight
2.333333333333333,10.8,Implement / Fight
2.333333333333333,11.0,Implement / Fight
2.333333333333333,11.200000000000001,Implement / Fight
2.333333333333333,11.4,Implement / Fight
2.333333333333333,11.600000000000001,Implement / Fight
2.333333333333333,11.8,Implement / Fight
2.333333333333333,12.0,Implement / Fight
2.333333333333333,12.200000000000001,Implement / Fight
2.333333333333333,12.4,Implement / Fight
2.333333333333333,12.600000000000001,Implement / Fight
2.333333333333333,12.8,Implement / Fight
2.333333333333333,13.0,Implement / Fight
2.333333333333333,13.200000000000001,Implement / Fight
2.333333333333333,13.4,Implement / Fight
2.333333333333333,13.600000000000001,Implement / Fight
2.333333333333333,13.8,Implement / Fight
2.333333333333333,14.0,Implement / Fight
2.333333333333333,14.200000000000001,Implement / Fight
2.333333333333333,14.4,Implement / Fight
2.333333333333333,14.600000000000001,Implement / Fight
2.333333333333333,14.8,Implement / Fight
2.333333333333333,15.0,Implement / Fight
2.333333333333333,15.200000000000001,Implement / Fight
2.333333333333333,15.4,Implement / Fight
2.333333333333333,15.600000000000001,Implement / Fight
2.333333333333333,15.8,Implement / Fight
2.333333333333333,16.0,Implement / Fight
2.333333333333333,16.2,Implement / Fight
2.333333333333333,16.400000000000002,Implement / Fight
2.333333333333333,16.6,Implement / Fight
2.333333333333333,16.8,Implement / Fight
2.333333333333333,17.0,Implement / Fight
2.333333333333333,17.2,Implement / Fight
2.333333333333333,17.400000000000002,Implement / Fight
2.333333333333333,17.6,Implement / Fight
2.333333333333333,17.8,Implement / Fight
2.333333333333333,18.0,Implement / Fight
2.333333333333333,18.2,Implement / Fight
2.333333333333333,18.400000000000002,Implement / Fight
2.333333333333333,18.6,Implement / Fight
2.333333333333333,18.8,Implement / Fight
2.333333333333333,19.0,Implement / Fight
2.333333333333333,19.200000000000003,Implement / Fight
2.333333333333333,19.400000000000002,Implement / Fight
2.333333333333333,19.6,Implement / Fight
2.333333333333333,19.8,Implement / Fight
2.6666666666666665,0.0,Implement / Accept
2.6666666666666665,0.2,Implement / Accept
2.6666666666666665,0.4,Implement / Accept
2.6666666666666665,0.6000000000000001,Implement / Accept
2.6666666666666665,0.8,Implement / Accept
2.6666666666666665,1.0,Implement / Accept
2.6666666666666665,1.2000000000000002,Implement / Accept
2.6666666666666665,1.4000000000000001,Implement / Accept
2.6666666666666665,1.6,Implement / Accept
2.6666666666666665,1.8,Implement / Accept
2.6666666666666665,2.0,Implement / Accept
2.6666666666666665,2.2,Implement / Accept
2.6666666666666665,2.4000000000000004,Implement / Accept
2.6666666666666665,2.6,Implement / Accept
2.6666666666666665,2.8000000000000003,Implement / Accept
2.6666666666666665,3.0,Implement / Accept
2.6666666666666665,3.2,Implement / Accept
2.6666666666666665,3.4000000000000004,Implement / Fight
2.6666666666666665,3.6,Implement / Fight
2.6666666666666665,3.8000000000000003,Implement / Fight
2.6666666666666665,4.0,Implement / Fight
2.6666666666666665,4.2,Implement / Fight
2.6666666666666665,4.4,Implement / Fight
2.6666666666666665,4.6000000000000005,Implement / Fight
2.6666666666666665,4.800000000000001,Implement / Fight
2.6666666666666665,5.0,Implement / Fight
2.6666666666666665,5.2,Implement / Fight
2.6666666666666665,5.4,Implement / Fight
2.6666666666666665,5.6000000000000005,Implement / Fight
2.6666666666666665,5.800000000000001,Implement / Fight
2.6666666666666665,6.0,Implement / Fight
2.6666666666666665,6.2,Implement / Fight
2.6666666666666665,6.4,Implement / Fight
2.6666666666666665,6.6000000000000005,Implement / Fight
2.6666666666666665,6.800000000000001,Implement / Fight
2.6666666666666665,7.0,Implement / Fight
2.6666666666666665,7.2,Implement / Fight
2.6666666666666665,7.4,Implement / Fight
2.6666666666666665,7.6000000000000005,Implement / Fight
2.6666666666666665,7.800000000000001,Implement / Fight
2.6666666666666665,8.0,Implement / Fight
2.6666666666666665,8.200000000000001,Implement / Fight
2.6666666666666665,8.4,Implement / Fight
2.6666666666666665,8.6,Implement / Fight
2.6666666666666665,8.8,Implement / Fight
2.6666666666666665,9.0,Implement / Fight
2.6666666666666665,9.200000000000001,Implement / Fight
2.6666666666666665,9.4,Implement / Fight
2.6666666666666665,9.600000000000001,Implement / Fight
2.6666666666666665,9.8,Implement / Fight
2.6666666666666665,10.0,Implement / Fight
2.6666666666666665,10.200000000000001,Implement / Fight
2.6666666666666665,10.4,Implement / Fight
2.6666666666666665,10.600000000000001,Implement / Fight
2.6666666666666665,10.8,Implement / Fight
2.6666666666666665,11.0,Implement / Fight
2.6666666666666665,11.200000000000001,Implement / Fight
2.6666666666666665,11.4,Implement / Fight
2.6666666666666665,11.600000000000001,Implement / Fight
2.6666666666666665,11.8,Implement / Fight
2.6666666666666665,12.0,Implement / Fight
2.6666666666666665,12.200000000000001,Implement / Fight
2.6666666666666665,12.4,Implement / Fight
2.6666666666666665,12.600000000000001,Implement / Fight
2.6666666666666665,12.8,Implement / Fight
2.6666666666666665,13.0,Implement / Fight
2.6666666666666665,13.200000000000001,Implement / Fight
2.6666666666666665,13.4,Implement / Fight
2.6666666666666665,13.600000000000001,Implement / Fight
2.6666666666666665,13.8,Implement / Fight
2.6666666666666665,14.0,Implement / Fight
2.6666666666666665,14.200000000000001,Implement / Fight
2.6666666666666665,14.4,Implement / Fight
2.6666666666666665,14.600000000000001,Implement / Fight
2.6666666666666665,14.8,Implement / Fight
2.6666666666666665,15.0,Implement / Fight
2.6666666666666665,15.200000000000001,Implement / Fight
2.6666666666666665,15.4,Implement / Fight
2.6666666666666665,15.600000000000001,Implement / Fight
2.6666666666666665,15.8,Implement / Fight
2.6666666666666665,16.0,Implement / Fight
2.6666666666666665,16.2,Implement / Fight
2.6666666666666665,16.400000000000002,Implement / Fight
2.6666666666666665,16.6,Implement / Fight
2.6666666666666665,16.8,Implement / Fight
2.6666666666666665,17.0,Implement / Fight
2.6666666666666665,17.2,Implement / Fight
2.6666666666666665,17.400000000000002,Implement / Fight
2.6666666666666665,17.6,Implement / Fight
2.6666666666666665,17.8,Implement / Fight
2.6666666666666665,18.0,Implement / Fight
2.6666666666666665,18.2,Implement / Fight
2.6666666666666665,18.400000000000002,Implement / Fight
2.6666666666666665,18.6,Implement / Fight
2.6666666666666665,18.8,Implement / Fight
2.6666666666666665,19.0,Implement / Fight
2.6666666666666665,19.200000000000003,Implement / Fight
2.6666666666666665,19.400000000000002,Implement / Fight
2.6666666666666665,19.6,Implement / Fight
2.6666666666666665,19.8,Implement / Fight
3.0,0.0,Implement / Accept
3.0,0.2,Implement / Accept
3.0,0.4,Implement / Accept
3.0,0.6000000000000001,Implement / Accept
3.0,0.8,Implement / Accept
3.0,1.0,Implement / Accept
3.0,1.2000000000000002,Implement / Accept
3.0,1.4000000000000001,Implement / Accept
3.0,1.6,Implement / Accept
3.0,1.8,Implement / Accept
3.0,2.0,Implement / Accept
3.0,2.2,Implement / Accept
3.0,2.4000000000000004,Implement / Accept
3.0,2.6,Implement / Accept
3.0,2.8000000000000003,Implement / Accept
3.0,3.0,Implement / Accept
3.0,3.2,Implement / Fight
3.0,3.4000000000000004,Implement / Fight
3.0,3.6,Implement / Fight
3.0,3.8000000000000003,Implement / Fight
3.0,4.0,Implement / Fight
3.0,4.2,Implement / Fight
3.0,4.4,Implement / Fight
3.0,4.6000000000000005,Implement / Fight
3.0,4.800000000000001,Implement / Fight
3.0,5.0,Implement / Fight
3.0,5.2,Implement / Fight
3.0,5.4,Implement / Fight
3.0,5.6000000000000005,Implement / Fight
3.0,5.800000000000001,Implement / Fight
3.0,6.0,Implement / Fight
3.0,6.2,Implement / Fight
3.0,6.4,Implement / Fight
3.0,6.6000000000000005,Implement / Fight
3.0,6.800000000000001,Implement / Fight
3.0,7.0,Implement / Fight
3.0,7.2,Implement / Fight
3.0,7.4,Implement / Fight
3.0,7.6000000000000005,Implement / Fight
3.0,7.800000000000001,Implement / Fight
3.0,8.0,Implement / Fight
3.0,8.200000000000001,Implement / Fight
3.0,8.4,Implement / Fight
3.0,8.6,Implement / Fight
3.0,8.8,Implement / Fight
3.0,9.0,Implement / Fight
3.0,9.200000000000001,Implement / Fight
3.0,9.4,Implement / Fight
3.0,9.600000000000001,Implement / Fight
3.0,9.8,Implement / Fight
3.0,10.0,Implement / Fight
3.0,10.200000000000001,Implement / Fight
3.0,10.4,Implement / Fight
3.0,10.600000000000001,Implement / Fight
3.0,10.8,Implement / Fight
3.0,11.0,Implement / Fight
3.0,11.200000000000001,Implement / Fight
3.0,11.4,Implement / Fight
3.0,11.600000000000001,Implement / Fight
3.0,11.8,Implement / Fight
3.0,12.0,Implement / Fight
3.0,12.200000000000001,Implement / Fight
3.0,12.4,Implement / Fight
3.0,12.600000000000001,Implement / Fight
3.0,12.8,Implement / Fight
3.0,13.0,Implement / Fight
3.0,13.200000000000001,Implement / Fight
3.0,13.4,Implement / Fight
3.0,13.600000000000001,Implement / Fight
3.0,13.8,Implement / Fight
3.0,14.0,Implement / Fight
3.0,14.200000000000001,Implement / Fight
3.0,14.4,Implement / Fight
3.0,14.600000000000001,Implement / Fight
3.0,14.8,Implement / Fight
3.0,15.0,Implement / Fight
3.0,15.200000000000001,Implement / Fight
3.0,15.4,Implement / Fight
3.0,15.600000000000001,Implement / Fight
3.0,15.8,Implement / Fight
3.0,16.0,Implement / Fight
3.0,16.2,Implement / Fight
3.0,16.400000000000002,Implement / Fight
3.0,16.6,Implement / Fight
3.0,16.8,Implement / Fight
3.0,17.0,Implement / Fight
3.0,17.2,Implement / Fight
3.0,17.400000000000002,Implement / Fight
3.0,17.6,Implement / Fight
3.0,17.8,Implement / Fight
3.0,18.0,Implement / Fight
3.0,18.2,Implement / Fight
3.0,18.400000000000002,Implement / Fight
3.0,18.6,Implement / Fight
3.0,18.8,Implement / Fight
3.0,19.0,Implement / Fight
3.0,19.200000000000003,Implement / Fight
3.0,19.400000000000002,Implement / Fight
3.0,19.6,Implement / Fight
3.0,19.8,Implement / Fight
3.333333333333333,0.0,Implement / Accept
3.333333333333333,0.2,Implement / Accept
3.333333333333333,0.4,Implement / Accept
3.333333333333333,0.6000000000000001,Implement / Accept
3.333333333333333,0.8,Implement / Accept
3.333333333333333,1.0,Implement / Accept
3.333333333333333,1.2000000000000002,Implement / Accept
3.333333333333333,1.4000000000000001,Implement / Accept
3.333333333333333,1.6,Implement / Accept
3.333333333333333,1.8,Implement / Accept
3.333333333333333,2.0,Implement / Accept
3.333333333333333,2.2,Implement / Accept
3.333333333333333,2.4000000000000004,Implement / Accept
3.333333333333333,2.6,Implement / Accept
3.333333333333333,2.8000000000000003,Implement / Fight
3.333333333333333,3.0,Implement / Fight
3.333333333333333,3.2,Implement / Fight
3.333333333333333,3.4000000000000004,Implement / Fight
3.333333333333333,3.6,Implement / Fight
3.333333333333333,3.8000000000000003,Implement / Fight
3.333333333333333,4.0,Implement / Fight
3.333333333333333,4.2,Implement / Fight
3.333333333333333,4.4,Implement / Fight
3.333333333333333,4.6000000000000005,Implement / Fight
3.333333333333333,4.800000000000001,Implement / Fight
3.333333333333333,5.0,Implement / Fight
3.333333333333333,5.2,Implement / Fight
3.333333333333333,5.4,Implement / Fight
3.333333333333333,5.6000000000000005,Implement / Fight
3.333333333333333,5.800000000000001,Implement / Fight
3.333333333333333,6.0,Implement / Fight
3.333333333333333,6.2,Implement / Fight
3.333333333333333,6.4,Implement / Fight
3.333333333333333,6.6000000000000005,Implement / Fight
3.333333333333333,6.800000000000001,Implement / Fight
3.333333333333333,7.0,Implement / Fight
3.333333333333333,7.2,Implement / Fight
3.333333333333333,7.4,Implement / Fight
3.333333333333333,7.6000000000000005,Implement / Fight
3.333333333333333,7.800000000000001,Implement / Fight
3.333333333333333,8.0,Implement / Fight
3.333333333333333,8.200000000000001,Implement / Fight
3.333333333333333,8.4,Implement / Fight
3.333333333333333,8.6,Implement / Fight
3.333333333333333,8.8,Implement / Fight
3.333333333333333,9.0,Implement / Fight
3.333333333333333,9.200000000000001,Implement / Fight
3.333333333333333,9.4,Implement / Fight
3.333333333333333,9.600000000000001,Implement / Fight
3.333333333333333,9.8,Implement / Fight
3.333333333333333,10.0,Implement / Fight
3.333333333333333,10.200000000000001,Implement / Fight
3.333333333333333,10.4,Implement / Fight
3.333333333333333,10.600000000000001,Implement / Fight
3.333333333333333,10.8,Implement / Fight
3.333333333333333,11.0,Implement / Fight
3.333333333333333,11.200000000000001,Implement / Fight
3.333333333333333,11.4,Implement / Fight
3.333333333333333,11.600000000000001,Implement / Fight
3.333333333333333,11.8,Implement / Fight
3.333333333333333,12.0,Implement / Fight
3.333333333333333,12.200000000000001,Implement / Fight
3.333333333333333,12.4,Implement / Fight
3.333333333333333,12.600000000000001,Implement / Fight
3.333333333333333,12.8,Implement / Fight
3.333333333333333,13.0,Implement / Fight
3.333333333333333,13.200000000000001,Implement / Fight
3.333333333333333,13.4,Implement / Fight
3.333333333333333,13.600000000000001,Implement / Fight
3.333333333333333,13.8,Implement / Fight
3.333333333333333,14.0,Implement / Fight
3.333333333333333,14.200000000000001,Implement / Fight
3.333333333333333,14.4,Implement / Fight
3.333333333333333,14.600000000000001,Implement / Fight
3.333333333333333,14.8,Implement / Fight
3.333333333333333,15.0,Implement / Fight
3.333333333333333,15.200000000000001,Implement / Fight
3.333333333333333,15.4,Implement / Fight
3.333333333333333,15.600000000000001,Implement / Fight
3.333333333333333,15.8,Implement / Fight
3.333333333333333,16.0,Implement / Fight
3.333333333333333,16.2,Implement / Fight
3.333333333333333,16.400000000000002,Implement / Fight
3.333333333333333,16.6,Implement / Fight
3.333333333333333,16.8,Implement / Fight
3.333333333333333,17.0,Implement / Fight
3.333333333333333,17.2,Implement / Fight
3.333333333333333,17.400000000000002,Implement / Fight
3.333333333333333,17.6,Implement / Fight
3.333333333333333,17.8,Implement / Fight
3.333333333333333,18.0,Implement / Fight
3.333333333333333,18.2,Implement / Fight
3.333333333333333,18.400000000000002,Implement / Fight
3.333333333333333,18.6,Implement / Fight
3.333333333333333,18.8,Implement / Fight
3.333333333333333,19.0,Implement / Fight
